"YEAR","COUNTYFIP","RACE_COMB","MULT","MULT_se"
2021,1,"AAPI",13.4351851851852,3.28160342121537
2021,1,"AIAN",2.10843373493976,0.720701939123247
2021,1,"Black",4.03772003352892,0.810017062234787
2021,1,"Latino",4.36724470134875,0.462882722713209
2021,1,"Other",3.4390243902439,2.03322401225673
2021,1,"Two or More",4.51006711409396,2.346668456673
2021,1,"White",9.05017921146953,2.21478215332533
2021,7,"AAPI",17.8333333333333,17.6772815277574
2021,7,"AIAN",NA,NA
2021,7,"Black",Inf,NA
2021,7,"Latino",7.49152542372881,3.44044308693777
2021,7,"Other",NA,NA
2021,7,"Two or More",3.98181818181818,2.53855758313933
2021,7,"White",4.28329297820823,1.31476397851255
2021,13,"AAPI",5.48831168831169,1.82627540085205
2021,13,"AIAN",Inf,NA
2021,13,"Black",4.16503267973856,1.28930776050531
2021,13,"Latino",6.19842829076621,0.901264781621327
2021,13,"Other",4.625,4.22880861374219
2021,13,"Two or More",6.06493506493506,2.97686119808198
2021,13,"White",7.05411764705882,1.80535778571761
2021,17,"AAPI",NA,NA
2021,17,"AIAN",NA,NA
2021,17,"Black",NA,NA
2021,17,"Latino",9.11111111111111,6.52604495577289
2021,17,"Other",NA,NA
2021,17,"Two or More",Inf,NA
2021,17,"White",18,12.2152761870497
2021,19,"AAPI",4.36210131332083,0.984395996622307
2021,19,"AIAN",Inf,NA
2021,19,"Black",8.41095890410959,3.57975376693515
2021,19,"Latino",4.96333448633691,0.537138307347902
2021,19,"Other",Inf,NA
2021,19,"Two or More",3.41708542713568,1.42936399470549
2021,19,"White",5.79047619047619,1.46177200580891
2021,23,"AAPI",Inf,NA
2021,23,"AIAN",3.64444444444444,2.03858905820105
2021,23,"Black",Inf,NA
2021,23,"Latino",6.02,5.27354003562742
2021,23,"Other",NA,NA
2021,23,"Two or More",9.11764705882353,9.38046522114029
2021,23,"White",12.9444444444444,5.80960432538696
2021,25,"AAPI",NA,NA
2021,25,"AIAN",6.82608695652174,6.37457315670185
2021,25,"Black",NA,NA
2021,25,"Latino",6.69240837696335,1.60914521602252
2021,25,"Other",NA,NA
2021,25,"Two or More",NA,NA
2021,25,"White",Inf,NA
2021,29,"AAPI",3.07719298245614,1.32458933497793
2021,29,"AIAN",Inf,NA
2021,29,"Black",5.7875,2.1997054247247
2021,29,"Latino",4.83738601823708,0.567337478335266
2021,29,"Other",NA,NA
2021,29,"Two or More",3.51304347826087,1.60391710068246
2021,29,"White",7.63157894736842,2.00282267093067
2021,31,"AAPI",Inf,NA
2021,31,"AIAN",Inf,NA
2021,31,"Black",106.5,122.910570219878
2021,31,"Latino",3.96013864818024,0.820841464251296
2021,31,"Other",NA,NA
2021,31,"Two or More",Inf,NA
2021,31,"White",7.14705882352941,5.03137274126172
2021,37,"AAPI",10.8826530612245,1.12495850048341
2021,37,"AIAN",6.93975903614458,3.40035492355809
2021,37,"Black",4.4180790960452,0.430381226695049
