"RACE_COMB","COUNT","COUNT_se","county"
"AAPI",5464,399.378983396547,"Alameda"
"AIAN",93,41.0487045784477,"Alameda"
"Black",4430,398.232634655495,"Alameda"
"Latino",11419,619.290786938603,"Alameda"
"Other",476,203.533529369851,"Alameda"
"Two or More",789,141.579188844096,"Alameda"
"White",3102,290.958285228837,"Alameda"
"AAPI",451,127.078308186563,"Butte"
"Black",20,19.9999999987679,"Butte"
"Latino",492,104.63207991392,"Butte"
"Two or More",266,102.839519195875,"Butte"
"White",1759,242.40321960203,"Butte"
"AAPI",1805,305.632539752833,"Contra Costa"
"Black",1954,331.999922884998,"Contra Costa"
"Latino",10243,697.784514295489,"Contra Costa"
"Other",81,43.6004291522053,"Contra Costa"
"Two or More",724,164.686748197152,"Contra Costa"
"White",2598,331.2617195628,"Contra Costa"
"Latino",211,73.8307414683444,"El Dorado"
"Two or More",35,35.0000000014214,"El Dorado"
"White",744,224.454275204631,"El Dorado"
"AAPI",3265,325.906676116477,"Fresno"
"AIAN",54,37.6563297657352,"Fresno"
"Black",1339,284.527771822027,"Fresno"
"Latino",15778,766.282329705908,"Fresno"
"Other",23,23.0000000000516,"Fresno"
"Two or More",280,98.6507071074092,"Fresno"
"White",2584,287.054614754642,"Fresno"
"AAPI",97,48.6928753173598,"Humboldt"
"AIAN",118,54.0184589860979,"Humboldt"
"Black",12,12.0000000010588,"Humboldt"
"Latino",232,112.507676297196,"Humboldt"
"Two or More",127,57.4194470644751,"Humboldt"
"White",1348,283.250841429005,"Humboldt"
"AAPI",29,29.0000000005474,"Imperial"
"AIAN",143,49.4670601612218,"Imperial"
"Black",17,17.0000000003352,"Imperial"
"Latino",6459,680.530805728911,"Imperial"
"White",127,77.6594772943615,"Imperial"
"AAPI",735,175.20478912077,"Kern"
"AIAN",34,23.45207165279,"Kern"
"Black",1492,289.189928599151,"Kern"
"Latino",14575,875.833265077055,"Kern"
"Two or More",409,124.470542819101,"Kern"
"White",4073,431.379097480234,"Kern"
"AAPI",14,13.9999999992476,"Kings"
"AIAN",9,6.70820244846059,"Kings"
"Black",80,54.7904929733851,"Kings"
"Latino",2385,316.701608423396,"Kings"
"Two or More",50,45.2769229379291,"Kings"
"White",112,44.9443453398631,"Kings"
