"African American","American Indian or Alaska Native","Asian","Filipino","Hispanic or Latino","Pacific Islander","White","Two or More Races","Not Reported","county","cds"
853,19,124,81,2256,87,201,209,42,"Alameda","01"
NA,NA,NA,NA,NA,NA,NA,NA,NA,"Alpine","02"
NA,NA,NA,NA,30,NA,91,18,NA,"Amador","03"
94,123,76,19,891,NA,3911,384,52,"Butte","04"
NA,NA,NA,NA,67,NA,128,18,NA,"Calaveras","05"
NA,NA,NA,NA,186,NA,34,NA,NA,"Colusa","06"
810,19,81,54,1455,31,328,154,26,"Contra Costa","07"
NA,41,NA,NA,31,NA,91,15,NA,"Del Norte","08"
17,17,NA,NA,247,NA,409,43,NA,"El Dorado","09"
517,50,73,NA,3090,11,423,85,NA,"Fresno","10"
NA,12,NA,NA,153,NA,80,NA,NA,"Glenn","11"
24,168,26,NA,278,NA,601,123,NA,"Humboldt","12"
22,39,11,NA,1428,NA,57,NA,NA,"Imperial","13"
51,NA,NA,NA,81,NA,NA,NA,NA,"Inyo","14"
678,41,69,34,3283,NA,924,123,24,"Kern","15"
63,NA,NA,NA,616,NA,100,21,NA,"Kings","16"
14,41,NA,NA,288,NA,309,43,NA,"Lake","17"
NA,12,NA,NA,20,NA,61,12,NA,"Lassen","18"
7755,144,2276,1076,48205,284,3854,1117,459,"Los Angeles","19"
25,23,NA,NA,930,NA,159,22,NA,"Madera","20"
16,NA,13,NA,1146,NA,44,NA,NA,"Marin","21"
NA,NA,NA,NA,22,NA,54,13,NA,"Mariposa","22"
NA,166,NA,NA,454,NA,296,45,19,"Mendocino","23"
86,23,65,NA,1119,NA,197,NA,NA,"Merced","24"
NA,NA,NA,NA,NA,NA,NA,NA,NA,"Modoc","25"
NA,NA,NA,NA,41,NA,NA,NA,NA,"Mono","26"
73,23,48,72,8229,40,352,111,33,"Monterey","27"
NA,NA,NA,NA,279,NA,73,12,NA,"Napa","28"
48,NA,NA,NA,139,NA,271,38,NA,"Nevada","29"
528,73,1180,327,24049,163,2068,420,119,"Orange","30"
85,NA,62,30,519,NA,587,119,21,"Placer","31"
NA,NA,NA,NA,19,NA,85,NA,NA,"Plumas","32"
2025,91,163,151,13781,130,2018,562,63,"Riverside","33"
2435,113,400,81,3697,141,2234,882,94,"Sacramento","34"
NA,NA,NA,NA,268,NA,31,NA,NA,"San Benito","35"
3419,194,886,268,21122,156,3134,709,382,"San Bernardino","36"
1687,156,431,606,14070,131,1923,923,183,"San Diego","37"
542,19,508,131,1360,50,115,92,122,"San Francisco","38"
817,54,155,97,2815,51,603,260,16,"San Joaquin","39"
29,15,18,22,2007,NA,655,82,16,"San Luis Obispo","40"
110,NA,28,60,1724,220,76,46,11,"San Mateo","41"
47,13,49,46,7653,NA,363,48,22,"Santa Barbara","42"
153,22,244,125,3078,40,221,117,58,"Santa Clara","43"
13,14,NA,11,3331,NA,284,20,13,"Santa Cruz","44"
43,49,25,NA,163,NA,663,72,17,"Shasta","45"
NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sierra","46"
NA,44,NA,NA,58,NA,147,41,NA,"Siskiyou","47"
331,NA,NA,41,626,21,182,92,NA,"Solano","48"
20,24,NA,NA,430,NA,203,50,NA,"Sonoma","49"
114,11,74,NA,1068,15,349,57,34,"Stanislaus","50"
25,NA,20,NA,168,NA,173,38,NA,"Sutter","51"
NA,26,NA,NA,255,NA,352,32,NA,"Tehama","52"
NA,13,NA,NA,NA,NA,107,16,NA,"Trinity","53"
74,18,37,15,2020,NA,279,38,19,"Tulare","54"
NA,12,NA,NA,77,NA,200,12,NA,"Tuolumne","55"
80,NA,60,112,5071,NA,674,89,NA,"Ventura","56"
45,NA,32,NA,500,NA,194,35,NA,"Yolo","57"
41,13,12,NA,110,NA,163,29,NA,"Yuba","58"
23954,2035,7377,3519,185350,1675,31159,7538,2012,"California","00"
