"county","race","students","total","total_prop","estimated_total","estimated_prop","doubledup","doubledup_prop"
"Alameda","AAPI",292,509283,0.307398080825518,2567.23627358893,0.108937231094003,5464,0.212004811236565
"Alameda","AIAN",19,5210,0.00314470343816885,100.381846635368,0.004259569147203,93,0.00360842742404842
"Alameda","Black",853,171168,0.103315277947118,5298.2681209603,0.224824907870345,4430,0.171885306328328
"Alameda","Latino",2256,371019,0.223943325321683,12729.287539406,0.540150259097002,11419,0.443060567260311
"Alameda","Other",42,5407,0.00326361065070614,325.748815165877,0.0138227144581102,476,0.0184689403639468
"Alameda","Two or More",209,74220,0.0447984432209006,843.847730937572,0.0358075476803642,789,0.0306134326620882
"Alameda","White",201,520447,0.314136558595905,1701.42690273288,0.0721977706529726,3102,0.120358514724712
"Amador","Latino",30,5340,0.138957558094148,169.272440683591,0.167224595940443,NA,NA
"Amador","Two or More",18,1418,0.0368992167373598,72.6758811333794,0.071796654009746,NA,NA
"Amador","White",91,30035,0.78157120924302,770.297751983544,0.760978750049811,NA,NA
"Butte","AAPI",95,10533,0.0466439639176856,835.230979421057,0.0200042767115287,451,0.150937081659973
"Butte","AIAN",123,1699,0.00752379138860228,649.840375586855,0.0155640619323937,NA,NA
"Butte","Black",94,3342,0.0147995943618062,583.865420129271,0.0139839226684992,20,0.00669344042838019
"Butte","Latino",891,36916,0.163477506122214,5027.39148830264,0.120409004152241,492,0.164658634538153
"Butte","Two or More",384,10469,0.0463605485858018,1550.41879751209,0.0371334486008717,266,0.0890227576974565
"Butte","White",3911,162537,0.719773090599911,33105.8737143697,0.792905285934466,1759,0.588688085676037
"Calaveras","Latino",67,5489,0.120600254866634,378.041784193352,0.246407561760288,NA,NA
"Calaveras","Two or More",18,1931,0.042426506129982,72.6758811333794,0.0473701252549835,NA,NA
"Calaveras","White",128,36837,0.809355363184954,1083.49573905378,0.706222312984728,NA,NA
"California","AAPI",12571,5751719,0.146415656426921,110523.038340022,0.067985840167381,102962,0.113356945234994
"California","AIAN",2035,140831,0.00358499142782528,10751.4241001565,0.00661350440074068,3376,0.00371683773735301
"California","Black",23954,2169155,0.0552179710477405,148786.300784857,0.0915226527987353,53815,0.0592481110295178
"California","Latino",185350,15327688,0.39018135274464,1045821.56269012,0.64331435936379,612123,0.673922353762362
"California","Other",2012,100119,0.00254862748089866,15604.9194312796,0.00959902635879365,3273,0.00360343895567429
"California","Two or More",7538,1188673,0.0302588387179481,30435.0439990785,0.0187214545300759,17527,0.0192965091891547
"California","White",31159,14605312,0.371792562154026,263755.029165442,0.162243162380484,115223,0.126855804090944
"Colusa","Latino",186,12738,0.593735433951711,1049.48913223826,0.784786413411972,NA,NA
"Colusa","White",34,7576,0.353127621888692,287.803555686159,0.215213586588028,NA,NA
"Contra Costa","AAPI",166,193534,0.169432112556697,1459.45623772522,0.0793155727330003,1805,0.10370583165757
"Contra Costa","AIAN",19,2278,0.00199430773096281,100.381846635368,0.00545534936373984,NA,NA
"Contra Costa","Black",810,95892,0.0839500249945065,5031.18074792244,0.27342442495343,1954,0.112266590060327
"Contra Costa","Latino",1455,292298,0.255896471090855,8209.71337315414,0.446164880682152,10243,0.588509049123815
"Contra Costa","Other",26,3657,0.00320157303429807,201.654028436019,0.0109590848604334,81,0.00465383510485493
"Contra Costa","Two or More",154,54000,0.0472750735171166,621.782538585579,0.0337913785206483,724,0.0415972421717897
"Contra Costa","White",328,500592,0.438250437075564,2776.4578313253,0.150889308886597,2598,0.149267451881643
"Del Norte","AIAN",41,1943,0.0706673940716494,216.613458528952,0.177204969398868,NA,NA
"Del Norte","Latino",31,5429,0.197454082560466,174.914855373044,0.143092593619454,NA,NA
"Del Norte","Two or More",15,1114,0.0405164575377341,60.5632342778161,0.0495449643331488,NA,NA
"Del Norte","White",91,17028,0.619312602291326,770.297751983544,0.630157472648529,NA,NA
"El Dorado","AAPI",NA,8959,0.0475119721260268,0,0,NA,NA
"El Dorado","AIAN",17,1031,0.00546766863064334,89.8153364632238,0.0171901745901362,NA,NA
"El Dorado","Black",17,1426,0.0075624592311323,105.592682363804,0.0202098741345565,NA,NA
"El Dorado","Latino",247,24199,0.1283337664335,1393.6764282949,0.266742207600107,211,0.213131313131313
"El Dorado","Two or More",43,5906,0.0313210969278172,173.61460492974,0.0332289059715518,35,0.0353535353535354
"El Dorado","White",409,146747,0.778238572784693,3462.10747869527,0.662628837703648,744,0.751515151515151
"Fresno","AAPI",84,100687,0.102270037916916,738.520023909145,0.0288791106831411,3265,0.139990567251211
"Fresno","AIAN",50,4651,0.00472412472664372,264.1627543036,0.0103298288102146,54,0.00231531106632937
"Fresno","Black",517,44209,0.0449040701010948,3211.25981071099,0.125573206552967,1339,0.0574111392187969
"Fresno","Latino",3090,522364,0.530576798260271,17435.0613904098,0.681781199371987,15778,0.676499592676757
"Fresno","Other",NA,1732,0.00175923113879745,0,0,23,0.000986151009732882
"Fresno","Two or More",85,21228,0.0215617543963003,343.191660907625,0.0134201777067884,280,0.0120053166402264
"Fresno","White",423,289650,0.294203983459977,3580.61482515428,0.140016476874901,2584,0.110791922136946
"Glenn","Latino",153,11680,0.417500714898484,863.289447486312,0.560404971528233,NA,NA
"Glenn","White",80,14398,0.514655418930512,677.18483690861,0.439595028471767,NA,NA
