"RACE_COMB","COUNT","COUNT_se","county"
"AAPI",5804,461.655360481328,"Alameda"
"AIAN",175,56.9296496177789,"Alameda"
"Black",4817,514.056844871582,"Alameda"
"Latino",11333,680.418201118194,"Alameda"
"Other",564,211.271981734183,"Alameda"
"Two or More",672,168.652804040704,"Alameda"
"White",2525,259.725905504523,"Alameda"
"AAPI",214,65.8633228700272,"Butte"
"Black",304,150.006538920072,"Butte"
"Latino",442,110.823732811994,"Butte"
"Two or More",219,84.1485449458762,"Butte"
"White",1769,271.925223224756,"Butte"
"AAPI",2113,333.269584814603,"Contra Costa"
"AIAN",36,29.120435346317,"Contra Costa"
"Black",2549,450.883082035696,"Contra Costa"
"Latino",9465,667.54489847203,"Contra Costa"
"Other",74,38.3405504178793,"Contra Costa"
"Two or More",934,236.392793749229,"Contra Costa"
"White",2998,417.347785472035,"Contra Costa"
"Latino",246,84.4983477647808,"El Dorado"
"Two or More",75,53.037707906002,"El Dorado"
"White",576,175.162310841065,"El Dorado"
"AAPI",2325,284.48213388245,"Fresno"
"AIAN",34,22.1359353841486,"Fresno"
"Black",1228,283.995102886709,"Fresno"
"Latino",14349,817.968599742188,"Fresno"
"Other",58,40.3732467198726,"Fresno"
"Two or More",680,160.977517066621,"Fresno"
"White",2432,303.148168040483,"Fresno"
"AAPI",177,73.8849499862884,"Humboldt"
"AIAN",164,67.7199216200968,"Humboldt"
"Black",20,20.0000000007801,"Humboldt"
"Latino",301,116.92287149096,"Humboldt"
"Two or More",155,81.7006150571745,"Humboldt"
"White",1398,297.998286080793,"Humboldt"
"AIAN",157,63.7886254109806,"Imperial"
"Latino",5113,642.950162927957,"Imperial"
"White",329,126.526477457163,"Imperial"
"AAPI",877,273.013955099118,"Kern"
"AIAN",113,71.182833481836,"Kern"
"Black",926,201.537968452723,"Kern"
"Latino",12732,843.081034079294,"Kern"
"Two or More",404,126.648803442343,"Kern"
"White",3190,464.282829926393,"Kern"
"AAPI",18,18.0000000004137,"Kings"
"AIAN",46,18.6547321585364,"Kings"
"Black",213,126.138748492634,"Kings"
"Latino",2285,323.224687073089,"Kings"
"Two or More",58,58.000000001278,"Kings"
"White",243,87.7893609043439,"Kings"
"AAPI",27729,925.601676010464,"Los Angeles"
"AIAN",576,162.738541349583,"Los Angeles"
"Black",21114,1025.41722202188,"Los Angeles"
"Latino",221778,2799.85338907527,"Los Angeles"
"Other",704,149.772296875998,"Los Angeles"
"Two or More",3655,380.932756251893,"Los Angeles"
"White",20403,906.582327440976,"Los Angeles"
"AAPI",211,98.8482724831527,"Madera"
"AIAN",11,4.58256972077554,"Madera"
"Latino",2738,369.266800446177,"Madera"
"Two or More",81,81.0000000023425,"Madera"
"White",515,140.807903300299,"Madera"
"AAPI",141,51.234661620917,"Marin"
"AIAN",17,16.9999999992128,"Marin"
"Black",138,69.813983139597,"Marin"
"Latino",2291,394.826811982846,"Marin"
"Other",18,18.0000000004137,"Marin"
"Two or More",15,14.9999999992875,"Marin"
"White",544,143.909170313463,"Marin"
"AAPI",385,117.033868337937,"Merced"
"Black",149,55.3984613920133,"Merced"
"Latino",5702,724.297235293454,"Merced"
"Two or More",82,41.0852436107431,"Merced"
"White",307,118.004050856077,"Merced"
"AAPI",109,42.4852266440419,"Napa"
"Black",15,14.9999999992875,"Napa"
"Latino",1813,292.593997056857,"Napa"
"Two or More",11,11.0000000003111,"Napa"
"White",207,67.9189153654763,"Napa"
"AAPI",11078,603.795498191781,"Orange"
"AIAN",92,56.7097621785755,"Orange"
"Black",856,203.449309292664,"Orange"
"Latino",47595,1523.07187092251,"Orange"
"Other",427,109.649016189229,"Orange"
"Two or More",1034,264.846093017395,"Orange"
"White",7419,574.519836887959,"Orange"
"AAPI",140,44.9220477396577,"Placer"
"AIAN",26,26.0000000012138,"Placer"
"Latino",715,204.124331951524,"Placer"
"Two or More",202,65.7721827766047,"Placer"
"White",1540,250.357216315475,"Placer"
"AAPI",2066,255.432375800298,"Riverside"
"AIAN",270,81.6331043945556,"Riverside"
"Black",3007,361.30613133574,"Riverside"
"Latino",34156,1228.87348517249,"Riverside"
"Other",156,72.4706116326843,"Riverside"
"Two or More",1068,195.226525653471,"Riverside"
"White",7222,528.682886565647,"Riverside"
"AAPI",5855,520.125348070408,"Sacramento"
"AIAN",124,46.9679974954555,"Sacramento"
"Black",2842,385.488856988683,"Sacramento"
"Latino",9528,675.177415138414,"Sacramento"
"Other",117,55.8837562688355,"Sacramento"
"Two or More",2332,393.236706089041,"Sacramento"
"White",5760,540.634806341968,"Sacramento"
"AAPI",3006,333.947770489969,"San Bernardino"
"AIAN",196,77.5756550718524,"San Bernardino"
"Black",3537,411.687069050035,"San Bernardino"
"Latino",36911,1326.20887305748,"San Bernardino"
"Two or More",1391,259.645869341007,"San Bernardino"
"White",6077,482.743106402347,"San Bernardino"
"AAPI",5485,476.086810443431,"San Diego"
"AIAN",46,11.2249236245732,"San Diego"
"Black",2655,344.222609980604,"San Diego"
"Latino",37193,1381.81280039801,"San Diego"
"Other",292,133.221481129857,"San Diego"
"Two or More",1726,277.179383973804,"San Diego"
"White",9685,631.935011899985,"San Diego"
"AAPI",5431,478.191358086021,"San Francisco"
"Black",1351,250.048065100072,"San Francisco"
"Latino",3832,441.92993409507,"San Francisco"
"Other",175,66.5956879938395,"San Francisco"
"Two or More",436,131.76458333443,"San Francisco"
"White",877,163.690541992896,"San Francisco"
"AAPI",3651,426.450232631899,"San Joaquin"
"AIAN",23,13.453616965188,"San Joaquin"
"Black",1444,208.822609330368,"San Joaquin"
"Latino",7467,536.064015139596,"San Joaquin"
"Other",183,95.6503354612171,"San Joaquin"
"Two or More",484,127.827542730591,"San Joaquin"
"White",2306,355.248022455952,"San Joaquin"
"AAPI",33,20.1246024933231,"San Luis Obispo"
"Black",14,14.0000000009168,"San Luis Obispo"
"Latino",785,265.240836063104,"San Luis Obispo"
"Other",18,18.0000000004138,"San Luis Obispo"
"Two or More",65,35.3694553482198,"San Luis Obispo"
"White",969,182.517133762377,"San Luis Obispo"
"AAPI",2321,264.007743298674,"San Mateo"
"Black",228,99.1058873847331,"San Mateo"
"Latino",8248,664.365104757403,"San Mateo"
"Other",14,14.0000000009168,"San Mateo"
"Two or More",124,63.9686940729969,"San Mateo"
"White",1400,262.074349028381,"San Mateo"
"AAPI",418,120.937638222409,"Santa Barbara"
"Black",91,91.0000000022519,"Santa Barbara"
"Latino",7441,575.571771939038,"Santa Barbara"
"Two or More",58,32.0624191395636,"Santa Barbara"
"White",947,159.682569232891,"Santa Barbara"
"AAPI",6036,389.171085813191,"Santa Clara"
"AIAN",32,31.9999999986529,"Santa Clara"
"Black",818,193.043140320475,"Santa Clara"
"Latino",16258,841.068165262505,"Santa Clara"
"Other",111,70.2495263802889,"Santa Clara"
"Two or More",546,139.26179443187,"Santa Clara"
"White",2208,301.694183592577,"Santa Clara"
"AAPI",99,52.8677232743601,"Santa Cruz"
"Black",33,26.2488053255247,"Santa Cruz"
"Latino",2116,320.866958042382,"Santa Cruz"
"Two or More",86,35.9165234488167,"Santa Cruz"
"White",839,166.465100674352,"Santa Cruz"
"AAPI",100,45.343088232418,"Shasta"
"AIAN",89,55.9374416292244,"Shasta"
"Latino",90,46.4111704673092,"Shasta"
"Two or More",41,26.0192130984533,"Shasta"
"White",1239,236.989852539927,"Shasta"
"AAPI",790,138.266658104959,"Solano"
"Black",1015,201.926863552711,"Solano"
"Latino",3128,408.686596405437,"Solano"
"Two or More",250,68.8474282346496,"Solano"
"White",998,178.598634118282,"Solano"
"AAPI",321,87.5611088186196,"Sonoma"
"Black",263,153.058730403241,"Sonoma"
"Latino",2651,418.092391292828,"Sonoma"
"Two or More",446,223.946240290556,"Sonoma"
"White",1265,226.097659849664,"Sonoma"
"AAPI",323,100.493524200823,"Stanislaus"
"Black",495,226.404270941651,"Stanislaus"
"Latino",6166,551.350477490907,"Stanislaus"
"Other",39,39.0000000024862,"Stanislaus"
"Two or More",313,90.0719201552845,"Stanislaus"
"White",2407,298.54627199126,"Stanislaus"
"AAPI",314,150.419275363512,"Tulare"
"AIAN",35,21.1896100744948,"Tulare"
"Black",192,91.8367270403793,"Tulare"
"Latino",9582,797.02576814382,"Tulare"
"Two or More",27,16.5831164568586,"Tulare"
"White",1090,176.117479090953,"Tulare"
"AAPI",520,123.068518457805,"Ventura"
"AIAN",61,58.0775327411601,"Ventura"
"Black",189,72.6428477578136,"Ventura"
"Latino",13261,716.27298759704,"Ventura"
"Other",20,14.4222014564522,"Ventura"
"Two or More",420,118.371918477911,"Ventura"
"White",1997,243.616191738555,"Ventura"
"AAPI",1112,207.271190619262,"Yolo"
"Black",240,143.394489856366,"Yolo"
"Latino",1578,249.284316775951,"Yolo"
"Two or More",152,65.8785983899519,"Yolo"
"White",1148,227.919518310176,"Yolo"
"AAPI",90796,1801.99274681184,"California"
"AIAN",2874,302.736729707448,"California"
"Black",51014,1617.62371538859,"California"
"Latino",552769,4901.44158897912,"California"
"Other",3142,372.401222455492,"California"
"Two or More",19342,945.604381138552,"California"
"White",101024,2078.92284579114,"California"
