"county","race","students","total","total_prop","estimated_total","estimated_prop","doubledup","doubledup_prop"
"Alameda","AAPI",292,509283,0.307398080825518,2395.62952923105,0.113706082217934,5804,0.224179219775975
"Alameda","AIAN",19,5210,0.00314470343816885,103.61669829222,0.00491805960454485,175,0.00675936655079181
"Alameda","Black",853,171168,0.103315277947118,4197.85278796064,0.199246748473603,4817,0.186056392429509
"Alameda","Latino",2256,371019,0.223943325321683,11693.0010032912,0.554996220088075,11333,0.437736577829278
"Alameda","Other",42,5407,0.00326361065070614,213.18901453958,0.0101187964664046,564,0.021784472769409
"Alameda","Two or More",209,74220,0.0447984432209006,901.533898305085,0.0427903756871105,672,0.0259559675550406
"Alameda","White",201,520447,0.314136558595905,1563.79083557952,0.0742237174623282,2525,0.0975280030899961
"Amador","Latino",30,5340,0.138957558094148,155.492034618234,0.165220023019405,NA,NA
"Amador","Two or More",18,1418,0.0368992167373598,77.6440677966102,0.0825016837690274,NA,NA
"Amador","White",91,30035,0.78157120924302,707.984905660378,0.752278293211568,NA,NA
"Butte","AAPI",95,10533,0.0466439639176856,779.400018071745,0.0201838180897244,214,0.0725915875169607
"Butte","AIAN",123,1699,0.00752379138860228,670.781783681215,0.0173709740644069,NA,NA
"Butte","Black",94,3342,0.0147995943618062,462.600424464596,0.0119797826522031,304,0.103120759837178
"Butte","Latino",891,36916,0.163477506122214,4618.11342816154,0.119593481127102,442,0.149932157394844
"Butte","Two or More",384,10469,0.0463605485858018,1656.40677966102,0.0428953199231087,219,0.0742876526458616
"Butte","White",3911,162537,0.719773090599911,30427.7908355795,0.787976624143455,1769,0.600067842605156
"Calaveras","Latino",67,5489,0.120600254866634,347.265543980722,0.244422982429564,NA,NA
"Calaveras","Two or More",18,1931,0.042426506129982,77.6440677966102,0.0546498060281623,NA,NA
"Calaveras","White",128,36837,0.809355363184954,995.846900269542,0.700927211542274,NA,NA
"California","AAPI",12571,5751719,0.146415656426921,103135.132917683,0.0697827433276207,90796,0.110597214727618
"California","AIAN",2035,140831,0.00358499142782528,11097.8937381404,0.00750899764509906,2874,0.00350077531088566
"California","Black",23954,2169155,0.0552179710477405,117884.367740691,0.0797622918947828,51014,0.0621393708105501
"California","Latino",185350,15327688,0.39018135274464,960681.620549654,0.650011272103426,552769,0.673319439047653
"California","Other",2012,100119,0.00254862748089866,10212.7689822294,0.00691010925559207,3142,0.00382722199958342
"California","Two or More",7538,1188673,0.0302588387179481,32515.6101694915,0.0220005386564985,19342,0.0235601934805673
"California","White",31159,14605312,0.371792562154026,242418.699730458,0.164024047116981,101024,0.123055784623143
"Colusa","Latino",186,12738,0.593735433951711,964.050614633049,0.784691709944598,NA,NA
"Colusa","White",34,7576,0.353127621888692,264.521832884097,0.215308290055402,NA,NA
"Contra Costa","AAPI",166,193534,0.169432112556697,1361.89897894642,0.0833412413513849,2113,0.116296989377511
"Contra Costa","AIAN",19,2278,0.00199430773096281,103.61669829222,0.00634081117168186,36,0.00198139688480379
"Contra Costa","Black",810,95892,0.0839500249945065,3986.23770017365,0.243937328237936,2549,0.140293907204579
"Contra Costa","Latino",1455,292298,0.255896471090855,7541.36367898433,0.461492827445265,9465,0.520942264296329
"Contra Costa","Other",26,3657,0.00320157303429807,131.974151857835,0.00807614207232688,74,0.0040728713743189
"Contra Costa","Two or More",154,54000,0.0472750735171166,664.28813559322,0.0406510311639747,934,0.0514062414001871
"Contra Costa","White",328,500592,0.438250437075564,2551.8576819407,0.156160618557431,2998,0.165006329462271
"Del Norte","AIAN",41,1943,0.0706673940716494,223.593927893738,0.193260306930158,NA,NA
"Del Norte","Latino",31,5429,0.197454082560466,160.675102438841,0.13887729378824,NA,NA
"Del Norte","Two or More",15,1114,0.0405164575377341,64.7033898305085,0.0559254765809584,NA,NA
"Del Norte","White",91,17028,0.619312602291326,707.984905660378,0.611936922700644,NA,NA
"El Dorado","AAPI",NA,8959,0.0475119721260268,0,0,NA,NA
"El Dorado","AIAN",17,1031,0.00546766863064334,92.7096774193549,0.0192179686285162,NA,NA
