"Label (Grouping)","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!White alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Black or African American alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!American Indian and Alaska Native alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Asian alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Some other race alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races"
"Alameda County, California","","","","","","","",""
"    Estimate","371,019","520,447","171,168","5,210","496,006","13,277","5,407","74,220"
"    Margin of Error","*****","±487","±1,541","±310","±2,088","±397","±852","±2,515"
"    Percent","22.4%","31.4%","10.3%","0.3%","29.9%","0.8%","0.3%","4.5%"
"    Percent Margin of Error","*****","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.2"
"Alpine County, California","","","","","","","",""
"    Estimate","130","551","9","314","10","0","0","25"
"    Margin of Error","±67","±118","±22","±47","±16","±12","±12","±19"
"    Percent","12.5%","53.0%","0.9%","30.2%","1.0%","0.0%","0.0%","2.4%"
"    Percent Margin of Error","±5.2","±5.8","±2.1","±5.0","±1.6","±3.3","±3.3","±1.8"
"Amador County, California","","","","","","","",""
"    Estimate","5,340","30,035","848","249","477","52","10","1,418"
"    Margin of Error","*****","±34","±107","±86","±135","±46","±13","±226"
"    Percent","13.9%","78.2%","2.2%","0.6%","1.2%","0.1%","0.0%","3.7%"
"    Percent Margin of Error","*****","±0.1","±0.3","±0.2","±0.4","±0.1","±0.1","±0.6"
"Butte County, California","","","","","","","",""
"    Estimate","36,916","162,537","3,342","1,699","10,057","476","321","10,469"
"    Margin of Error","*****","±240","±347","±292","±573","±151","±191","±813"
"    Percent","16.3%","72.0%","1.5%","0.8%","4.5%","0.2%","0.1%","4.6%"
"    Percent Margin of Error","*****","±0.1","±0.2","±0.1","±0.3","±0.1","±0.1","±0.4"
"Calaveras County, California","","","","","","","",""
"    Estimate","5,489","36,837","315","184","684","19","55","1,931"
"    Margin of Error","*****","±99","±157","±113","±146","±21","±64","±260"
"    Percent","12.1%","80.9%","0.7%","0.4%","1.5%","0.0%","0.1%","4.2%"
"    Percent Margin of Error","*****","±0.2","±0.3","±0.2","±0.3","±0.1","±0.1","±0.6"
"Colusa County, California","","","","","","","",""
"    Estimate","12,738","7,576","256","143","273","38","36","394"
"    Margin of Error","*****","±23","±45","±67","±79","±30","±45","±112"
"    Percent","59.4%","35.3%","1.2%","0.7%","1.3%","0.2%","0.2%","1.8%"
"    Percent Margin of Error","*****","±0.2","±0.2","±0.3","±0.4","±0.1","±0.2","±0.5"
"Contra Costa County, California","","","","","","","",""
"    Estimate","292,298","500,592","95,892","2,278","188,237","5,297","3,657","54,000"
"    Margin of Error","*****","±537","±1,240","±322","±1,851","±369","±700","±2,120"
"    Percent","25.6%","43.8%","8.4%","0.2%","16.5%","0.5%","0.3%","4.7%"
"    Percent Margin of Error","*****","±0.1","±0.1","±0.1","±0.2","±0.1","±0.1","±0.2"
"Del Norte County, California","","","","","","","",""
"    Estimate","5,429","17,028","899","1,943","862","44","176","1,114"
"    Margin of Error","*****","±197","±132","±248","±148","±34","±192","±331"
"    Percent","19.7%","61.9%","3.3%","7.1%","3.1%","0.2%","0.6%","4.1%"
